user_id,name,email,country,plan,signup_date,churned
1,Allison Hill,donaldgarcia@example.net,SG,Basic,2026-02-20,False
2,Javier Johnson,jesseguzman@example.net,ID,Free,2024-01-27,True
3,Kimberly Robinson,lisa02@example.net,MY,Premium,2024-09-27,False
4,Daniel Gallagher,daviscolin@example.com,MY,Free,2025-04-12,False
5,Monica Herrera,smiller@example.net,ID,Free,2025-04-28,False
6,Laura Bush,stanleykendra@example.org,MY,Basic,2026-01-11,False
7,Jamie Chavez,francisco53@example.net,TH,Premium,2024-04-10,False
8,Maria Lynch,amandasanchez@example.com,SG,Basic,2024-08-11,False
9,Margaret Hawkins DDS,perezantonio@example.com,SG,Premium,2024-09-03,False
10,Thomas Bradley,jason76@example.net,ID,Free,2024-11-05,True
11,David Hoffman,julie69@example.com,MY,Premium,2024-07-23,False
12,Brenda Snyder PhD,hernandezernest@example.net,MY,Premium,2024-09-26,False
13,James Ferrell,tasha01@example.net,TH,Premium,2026-02-12,False
14,Patricia Peterson,ryan70@example.net,SG,Basic,2026-02-02,False
15,Jonathan White,harrellkenneth@example.net,SG,Free,2024-12-28,False
16,James Martin,georgetracy@example.org,SG,Free,2026-04-01,False
17,Sandra Parker,allenashley@example.org,MY,Basic,2023-09-26,False
18,Mr. Philip Cannon,donnaarroyo@example.org,PH,Free,2024-04-08,False
19,Jenny Lewis,jenniferross@example.net,SG,Basic,2025-06-01,False
20,Joseph Martinez,calebsmith@example.net,MY,Basic,2024-03-01,False
21,Benjamin Welch,carlosjohnson@example.com,MY,Premium,2023-09-10,False
22,Michael Lewis,jenniferkhan@example.net,ID,Basic,2024-11-20,True
23,Rhonda Lee,hopkinsmichael@example.com,SG,Free,2024-11-14,False
24,Megan Joyce,brownjessica@example.org,PH,Free,2024-03-21,False
25,Jerry Henderson,steven17@example.net,ID,Premium,2023-10-09,False
26,Kimberly Smith,housemelinda@example.org,MY,Free,2024-09-09,True
27,Dr. Steven Martin,gallowayjoseph@example.com,MY,Free,2024-04-30,False
28,Monica Logan,smoore@example.org,TH,Free,2026-05-14,False
29,Kimberly Adkins,williamsthomas@example.net,PH,Free,2023-12-13,False
30,Angela Lopez,leonardjoe@example.org,SG,Basic,2026-04-15,False
31,Lauren Williams,barnesbrandy@example.net,ID,Free,2024-06-03,False
32,Michael Edwards,randy47@example.com,MY,Basic,2026-04-01,False
33,Alexandra Howell,jonesjason@example.com,PH,Premium,2023-11-16,False
